dist,passen,fare,concen
851,298,123,.86120003
1388,190,129,.53860003
1374,244,247,.70969999
1167,339,176,.3716
1730,710,109,.51969999
512,163,171,.96930003
2048,197,220,.62310004
990,192,161,.64199996
2698,310,152,.28470001
3187,187,214,.3001
1803,383,188,.48470002
935,954,117,.68830001
562,319,198,.71919996
359,241,75,.84650004
1201,443,151,.49310002
1159,178,149,.80610001
785,678,105,.92790002
1091,806,131,.87540001
1583,181,193,.65750003
2930,355,250,.29479998
1433,372,154,.875
1019,178,131,.65830004
2506,197,169,.56330001
529,1454,68,.82539999
1795,208,156,.3159
796,167,124,.50980002
983,182,158,.75339997
1012,370,133,.83899999
1446,202,146,.345
1404,205,155,.61629999
1904,288,156,.49169999
1508,165,156,.56870002
2658,337,226,.4041
1056,138,295,.83489996
1462,490,118,.57080001
664,147,122,.88349998
522,729,72,.77149999
862,272,121,.59179997
1224,161,124,.95609999
201,87,158,.99620003
1309,415,248,.68970001
929,1268,173,.61619997
724,156,185,.921
1525,2188,177,.74870002
1148,547,115,.50870001
417,206,218,.96139997
366,513,250,.6904
975,3415,173,.45919999
601,508,216,.95679998
893,616,197,.53670001
1912,170,205,.73280001
308,78,259,.96769994
719,450,206,.86470002
1180,2644,189,.47679999
696,642,116,.6275
1933,1303,221,.49130002
958,1415,132,.49090001
1038,184,124,.83589995
937,1653,137,.71720004
830,460,127,.72540003
493,710,110,.66500002
1385,759,197,.81620002
1116,1554,151,.45279998
696,434,235,.82690001
550,176,269,.95679998
435,955,119,.70779997
1117,808,168,.63669997
2817,816,221,.67519999
488,127,232,.98290002
730,207,226,.88519996
3138,1537,301,.63690001
517,272,272,.9508
535,1120,106,.58819997
959,1591,134,.57590002
1079,401,208,.5352
1461,1192,141,.546
487,176,165,.98890001
345,303,274,.991
685,998,131,.6656
1219,6768,168,.62269998
819,272,107,.95999998
832,439,132,.91420001
1227,254,204,.71620005
1325,205,232,.71830004
3067,221,286,.53250003
650,1982,133,.65849996
1072,2318,129,.58770001
2559,716,284,.60509998
848,803,137,.4657
3504,353,320,.67940003
1458,230,230,.83429998
574,1411,117,.55269998
775,535,194,.94269997
1209,193,197,.80610001
3377,244,305,.588
2564,530,234,.62950003
1409,418,224,.72980005
3051,523,303,.64819998
3450,1237,370,.63849998
3414,372,407,.57609999
3096,341,347,.59669995
346,453,97,.74870002
3520,607,343,.60299999
779,707,226,.4937
1280,198,202,.77079999
654,1769,135,.6947
1087,188,233,.75459999
425,217,112,.68099999
870,3195,185,.5607
879,557,159,.96940005
441,5,241,.95829999
654,3,252,1
816,2,228,.70589995
1575,365,119,.99349999
751,130,88,.99830002
1374,377,114,.99339998
2164,436,183,.5248
2733,252,378,.3696
1567,645,246,.56340003
295,2035,95,.77839994
1240,413,266,.5772
846,353,125,.94139999
451,208,74,.98540002
245,963,83,.70679998
1750,484,150,.71510005
1996,506,197,.44479999
540,290,95,.95160002
467,163,90,.98199999
1216,257,141,.77760005
719,215,141,.67730004
2433,679,373,.4375
1606,285,171,.41439998
1400,580,147,.51450002
1875,305,179,.51279998
2420,346,238,.3978
2372,684,278,.80370003
2845,246,219,.24450001
1158,217,191,.4682
2109,305,347,.3055
1100,481,112,.80599999
596,697,150,.96269995
580,264,258,.91790003
985,2613,120,.36919999
693,192,225,.69870001
506,1333,68,.39349997
543,53,183,.39180002
1962,554,320,.61180001
2404,587,254,.57499999
658,811,152,.83649999
1491,1116,124,.54250002
1485,218,140,.73640001
456,1202,62,.70410001
1991,939,198,.52689999
832,463,106,.67750001
1069,646,103,.54900002
1559,477,153,.69679999
3398,990,159,.4973
3758,1440,218,.41639999
798,684,77,.87709999
1525,411,142,.6785
1509,300,278,.76269996
946,1014,94,.8926
1609,649,131,.52319998
293,369,178,.60780001
1908,211,168,.30520001
1658,128,148,.25490001
3690,235,184,.2757
1269,1643,114,.61729997
3224,1108,171,.4409
3809,347,190,.2059
529,2165,65,.68430001
3009,354,178,.2915
2270,403,172,.4711
3704,764,193,.1918
3964,1107,255,.45089999
3937,340,240,.22930001
3769,589,209,.2298
1188,1083,129,.4754
1358,1143,116,.57599998
1424,239,150,.8908
617,173,154,.54769999
408,84,241,.97280002
919,434,135,.63429999
962,262,185,.43889999
1009,183,163,.66980004
919,364,131,.56029999
2932,179,206,.38479999
517,394,72,.96309996
1390,368,212,.42169997
770,377,108,.49669999
662,143,123,.60409999
741,311,101,.80919999
1511,119,138,.74059999
1048,199,240,.72839999
838,265,99,.87980002
1088,312,124,.5399
1187,279,121,.56380004
554,729,78,.61549997
540,162,72,.98390001
469,405,69,.505
841,225,143,.95309997
643,831,80,.50999999
462,445,66,.67720002
638,212,210,.9307
1172,389,271,.9206
1398,2309,243,.4289
1212,374,263,.87059999
908,402,251,.83599997
2875,139,250,.4039
1032,323,195,.42369998
2519,1216,364,.58270001
2829,1043,273,.63770002
1019,647,274,.85330003
1995,1682,135,.56709999
2014,745,142,.78580004
1041,241,154,.82569999
2575,739,317,.72589993
1319,320,207,.62540001
1632,271,132,.46970001
2029,319,228,.42680001
4211,1592,366,.36860001
1838,242,211,.78250003
2029,760,198,.70199996
1387,334,223,.67129999
1812,1010,247,.7626
1191,204,101,.62310004
1522,161,251,.49590001
2206,428,163,.32650003
298,6883,145,.4276
754,180,192,.4571
1808,2306,129,.59430003
451,1602,207,.78690004
3711,538,294,.39419997
800,641,237,.94349998
4098,225,398,.315
987,746,146,.58499998
764,233,222,.65970004
553,334,172,.72290003
4261,118,407,.4413
3396,309,300,.63940001
4174,463,352,.4025
4361,1815,488,.49959999
4337,601,522,.70949996
4180,177,410,.26229998
1970,121,153,.43630001
4027,500,363,.28170002
1687,319,370,.7421
1911,1224,133,.53119999
654,3625,152,.60040003
1930,863,153,.55320001
762,537,120,.41049999
1882,304,115,.35699999
3208,320,166,.50580001
470,2022,96,.4271
1630,700,107,.3646
450,161,255,.95879996
1701,395,107,.42049998
477,120,169,.90039998
1372,123,233,.86800003
359,1823,71,.99940002
524,2426,83,.9939
595,1254,66,.634
1317,440,136,.73989999
603,185,95,.92480004
577,1620,81,.98339999
525,1169,105,.99809998
477,1319,83,.99959999
1511,743,143,.72500002
422,483,91,.4571
1227,108,177,.4975
1022,453,186,.43200001
716,187,167,.72730005
966,644,248,.62199998
693,187,249,.63620001
1511,432,317,.54189998
2159,218,288,.64959997
806,291,256,.46900001
1019,287,175,.86080003
1037,223,269,.91530001
1474,264,315,.44119999
690,164,213,.87589997
530,134,260,.91300005
1306,144,253,.75339997
3429,358,322,.63230002
825,178,251,.63959998
1048,255,186,.86680001
1501,234,261,.51459998
530,195,255,.93489999
1051,173,206,.75309998
867,1304,268,.77989995
754,399,188,.90480006
720,498,279,.94999999
590,216,240,.93699998
412,147,289,.98809999
3704,320,376,.69419998
929,213,243,.49340001
819,341,202,.88589996
529,453,252,.96519995
425,690,236,.58770001
500,2312,103,.42680001
1470,177,210,.81370002
1075,84,199,.61400002
458,1160,100,.58999997
1290,2829,248,.51279998
387,268,176,.48900002
1432,2691,178,.5158
482,253,201,.56290001
375,3310,89,.43599999
1993,247,211,.74510002
1893,2175,156,.27809998
1806,1150,156,.2814
951,258,234,.59360003
959,165,284,.57859999
1262,1106,166,.4138
1491,1917,186,.36669999
261,808,104,.43959999
1074,234,129,.69410002
1395,551,162,.36740002
653,2281,86,.51429999
766,196,179,.79030001
2443,3146,151,.2683
520,96,217,.79320002
753,62,173,.88849998
877,339,142,.46180001
2814,3965,222,.41769999
437,930,76,.74919999
1359,586,156,.4711
791,420,209,.38919997
1930,1069,221,.47479999
556,3447,148,.48610002
1216,210,95,.51419997
637,1148,100,.57840002
1350,909,159,.3353
1172,7304,245,.35429999
1156,246,219,.61180001
2961,395,345,.70589995
1117,299,169,.46529999
682,916,92,.61519998
2743,340,216,.49779999
1620,3005,149,.28100002
1093,2283,214,.3554
2322,2960,164,.27770001
664,935,185,.42640001
1453,105,278,.75410002
2806,643,280,.57389998
1369,874,154,.34080002
1043,1156,133,.4278
2696,275,179,.66460001
1035,268,286,.71079999
851,307,178,.54839998
2874,380,277,.61220002
2016,581,231,.3515
1679,588,225,.4641
2780,1157,239,.45490003
2977,2679,324,.5309
2951,772,351,.4445
2785,913,245,.52219999
1670,274,146,.63819999
1246,131,141,.51709998
2775,1275,269,.5244
404,2399,92,.46599999
980,251,186,.42340001
1632,1951,160,.26910001
2317,381,196,.77940005
943,289,153,.64879996
974,2486,204,.6688
1846,367,225,.3996
1190,487,340,.5571
950,106,272,.82769996
1309,311,344,.63779998
1724,345,225,.82069999
1504,276,170,.90949994
1419,228,171,.92519999
1420,206,284,.54479998
2708,245,206,.81239998
3066,351,316,.73769999
1530,203,191,.88069999
961,354,261,.50919998
935,971,259,.73589998
1219,425,176,.89959997
817,320,291,.56330001
2532,218,268,.84559995
3285,315,312,.74050003
3170,171,290,.74730003
1246,338,178,.89339995
659,421,224,.8714
1646,367,331,.49020001
1938,327,273,.43630001
153,130,203,.69480002
1712,429,169,.71580005
1654,371,173,.76449996
766,246,181,.60729998
1761,506,240,.73809999
420,176,220,.72519994
1120,239,151,.59220004
2945,743,165,.67570001
3312,610,242,.60430002
1743,250,173,.50700003
529,209,222,.4896
1003,301,295,.59640002
722,504,79,.66650003
664,1189,255,.80160004
1443,721,149,.71099997
585,349,284,.51919997
2803,514,180,.53710002
870,233,180,.44569999
2530,117,192,.37810001
3272,230,218,.28440002
3487,422,272,.67370003
3267,194,243,.24690001
785,530,91,.4603
1495,516,155,.69089997
496,282,191,.95569998
1648,152,170,.528
954,299,173,.76370001
1308,158,224,.50929999
1600,55,190,.42540002
869,59,165,.85030001
974,181,127,.4095
1345,251,204,.66360003
2717,46,220,.3705
1170,171,127,.79470003
1625,71,184,.4673
2635,190,237,.34299999
743,26,186,.49160001
1279,52,203,.46779999
2458,127,229,.27219999
888,199,187,.82129997
1661,86,218,.50380003
661,73,186,.81099999
1180,83,191,.54930001
1319,111,186,.4562
1554,142,209,.49919999
1522,120,262,.51539999
1724,102,224,.46849999
838,26,254,.55140001
2372,219,282,.40130001
990,306,188,.48369998
1495,372,297,.69230002
1864,230,297,.56740004
1569,346,129,.34619999
1501,238,140,.52240002
1591,300,199,.6821
1022,191,140,.44369999
2858,751,132,.60089999
3222,477,183,.26280001
1598,180,158,.57959998
1011,218,274,.77879995
770,988,207,.35339999
1293,846,116,.66410005
653,282,247,.93129998
2696,558,152,.59249997
3291,119,183,.39490002
3175,228,163,.17969999
3427,285,205,.28350002
3259,186,194,.37200001
661,417,89,.61509997
1337,701,113,.48290002
516,467,142,.58599997
567,434,103,.73580003
301,420,83,.6936
1388,270,197,.4887
1033,1930,185,.37
1006,153,214,.65269995
1591,921,246,.48179999
906,1026,114,.63880002
1804,616,207,.48720002
738,377,121,.88889998
2372,386,295,.61430001
380,5421,84,.68160003
1229,421,250,.64219999
658,183,136,.52020001
1483,360,157,.52099997
741,1112,150,.77859998
1701,1500,167,.3344
477,869,78,.67410004
1967,509,191,.94379997
1991,1677,266,.43869999
1183,253,245,.47939998
472,909,76,.83910006
696,306,232,.55860001
1808,528,240,.76389998
514,650,77,.86610001
1375,387,221,.53740001
1374,1030,229,.4012
754,157,153,.81599998
1017,495,232,.58939999
704,1309,111,.6742
2230,3551,333,.54080003
1956,197,210,.62330002
2348,395,360,.53650004
291,593,81,.71289998
940,207,269,.75199997
1917,311,257,.4799
1587,1282,188,.4285
2100,1006,307,.5097
1400,1123,254,.50220001
1724,379,293,.42550001
2606,417,313,.4057
1712,562,281,.68709999
2170,223,186,.57779998
1867,249,285,.6681
2308,270,341,.49150002
1593,473,248,.4998
400,2113,85,.76370001
1888,671,282,.61129999
2361,1089,369,.5557
2319,750,444,.76349998
1943,496,332,.72000003
2677,808,332,.50189996
888,809,239,.41819999
1498,831,217,.42860001
1311,272,238,.72780001
382,1034,78,.65219998
1908,1953,291,.57370001
1780,231,226,.65429997
529,183,150,.89029998
3112,142,239,.34169999
862,304,188,.42209998
1304,253,128,.32749999
627,282,214,.85949999
1425,217,143,.68230003
951,121,228,.83419997
1812,553,263,.43180001
2751,298,229,.2201
2698,217,293,.52450001
1390,1031,277,.45049998
1575,335,231,.62940001
859,1161,125,.42060003
1014,1453,140,.4966
1390,2138,212,.59680003
2758,444,274,.472
1445,319,197,.46849999
1096,1497,125,.491
1635,199,273,.59780002
1714,367,221,.44310001
2603,2413,273,.5927
1543,347,297,.90230006
798,201,222,.83199996
761,446,165,.51560003
1320,261,220,.75379997
2491,910,230,.40130001
2512,620,297,.48019999
970,1693,185,.49000001
2082,318,259,.53900003
1600,749,209,.68199998
2319,248,269,.24120001
1298,187,216,.66320002
1467,399,248,.84410006
630,1013,148,.42150003
1282,300,234,.43849999
1375,939,194,.57310003
1559,1916,233,.71849996
1529,858,289,.69980001
1364,546,255,.88080001
1651,1241,225,.66110003
1350,150,221,.75730002
1241,476,253,.53680003
2430,427,247,.3838
1030,232,203,.72930002
872,183,258,.75419998
2345,1348,292,.6656
675,95,245,.97370005
1964,126,161,.42730001
1843,132,152,.2947
1858,107,170,.465
1817,832,151,.51740003
1750,846,152,.542
883,252,251,.74980003
1737,676,190,.4188
372,494,151,.9497
1314,229,182,.71459997
1016,471,155,.67150003
2822,1645,159,.54110003
3191,1280,253,.48529997
493,268,161,.82359999
983,181,254,.85180002
1846,504,184,.70730001
383,391,164,.97379994
851,1002,175,.79370004
1025,202,100,.9188
737,756,112,.69709998
1493,313,177,.6875
798,2646,187,.71039999
1454,135,169,.37490001
1543,1601,146,.551
730,780,190,.58069998
2695,1069,185,.50150001
324,203,252,.51550001
3153,202,289,.43889999
808,401,174,.64449996
3074,82,199,.31650001
2391,186,204,.61790001
1964,192,197,.25080001
3158,443,241,.35529998
3354,646,341,.54100001
3332,189,270,.23370001
3164,198,324,.42250001
1651,75,186,.39240003
3109,388,289,.58959997
709,1043,95,.352
1585,1138,150,.52959996
645,728,229,.85580003
1753,513,156,.55199999
814,195,237,.92860001
1091,372,159,.6358
941,423,100,.66260004
1151,425,133,.85860002
1082,116,132,.65109998
559,561,68,.8143
800,351,113,.94300002
1025,204,135,.81080002
727,231,138,.97320002
1893,770,120,.5054
1556,444,180,.63800001
1622,434,130,.51969999
1762,800,121,.65039998
512,847,67,.99410003
2006,206,165,.26440001
3508,483,174,.4901
3779,670,222,.32990003
1446,157,141,.47679999
2009,192,153,.25310001
2403,266,219,.51569998
1279,395,141,.77459997
1085,372,142,.72480005
1730,8497,128,.27419999
1809,55,147,.79220003
287,831,73,.8071
1600,1311,131,.7543
3185,324,210,.29659998
1603,395,157,.84139997
1917,395,132,.46240002
1096,492,122,.64859998
4172,294,248,.3818
1704,358,199,.50060004
317,1370,68,.93430001
1451,1188,125,.48930001
1904,232,137,.4427
1525,465,140,.7507
1867,114,164,.39349997
1911,243,152,.27129999
2285,400,180,.58840001
1722,1381,148,.34009999
1600,423,151,.84330004
1559,270,146,.82919997
1940,152,148,.5765
1580,167,182,.84400004
1440,240,154,.45820001
2653,156,176,.7058
988,235,196,.34349999
1651,233,157,.44859999
1591,166,184,.55589998
741,972,163,.46110001
862,348,105,.66980004
588,254,173,.94440001
445,528,74,.90289998
375,198,78,.99230003
1374,163,153,.76599997
2433,253,253,.4413
4075,494,247,.36070001
1925,190,165,.37029999
1695,235,355,.76440001
1693,1644,110,.49040002
316,264,272,.99300003
3570,384,196,.28999999
654,257,246,.94190001
858,375,133,.685
4237,268,366,.4779
3930,161,276,.27320001
1545,230,245,.54369998
1791,552,130,.51300001
506,512,166,.6476
1827,675,130,.60799998
1364,368,166,.63029999
579,314,75,.80779999
1319,237,165,.59119999
1038,569,157,.5061
1982,1119,162,.46130002
632,312,113,.64539999
2224,1498,225,.43430001
1272,223,164,.6099
761,379,100,.6024
758,201,211,.45910001
1554,461,192,.61919999
709,471,110,.68550003
1669,426,300,.32179999
509,240,96,.98190004
1080,596,133,.63749999
488,2176,94,.65139997
2270,2619,313,.72570002
2653,271,246,.34220001
674,588,114,.55119997
1261,198,180,.63630003
2154,261,194,.3946
1375,877,168,.5783
2137,742,286,.50139999
1645,796,184,.39930001
1803,303,314,.44169998
2946,269,274,.50770003
2537,233,210,.44509998
1683,347,200,.39470002
2487,176,177,.3459
1930,370,197,.35900003
309,954,80,.70199996
2103,505,218,.50470001
2638,863,295,.61809999
2596,386,295,.53750002
2174,309,308,.70959997
3025,493,277,.51740003
1108,841,138,.53820002
1269,539,181,.6031
729,815,119,.56450003
1941,943,293,.76109999
729,331,98,.72610003
2566,885,134,.57020003
2927,626,184,.2474
1650,171,174,.35089999
811,318,267,.77399999
1143,142,154,.3969
1062,995,206,.4686
1335,1096,112,.44439998
946,364,252,.84809995
2403,544,157,.47909999
2882,237,187,.18190001
3138,314,202,.3091
1414,217,120,.78589994
3014,211,201,.3021
369,337,77,.50550002
1354,688,119,.52459997
804,317,195,.75489998
1567,681,113,.67290002
1669,467,115,.91710001
1701,42,130,.6875
538,132,113,.90779996
780,288,101,.8089
827,217,96,.73550004
1345,1094,141,.38009998
877,155,139,.4402
1196,425,146,.80760002
290,291,74,.53619999
1022,334,158,.64529997
1838,693,142,.7281
2198,804,153,.55070001
793,161,96,.44209999
2022,223,172,.3662
703,201,194,.78320003
635,810,101,.85620004
793,414,78,.86989999
1114,283,122,.4111
1762,1049,227,.3351
2403,260,182,.66360003
504,353,73,.97110003
2129,162,169,.47889999
1729,730,137,.5377
1677,288,282,.73510003
1683,798,147,.58520001
2393,236,164,.36410001
1461,285,136,.4014
2329,196,172,.48980001
1483,277,148,.69669998
1140,234,167,.40970001
2151,385,167,.4603
2419,290,193,.38209999
2403,378,186,.30320001
383,984,69,.5309
1691,301,154,.398
359,163,75,1
1532,629,213,.52310002
1040,264,189,.49509999
858,150,158,.60420001
380,4782,71,.47279999
2624,233,157,.60729998
1251,123,120,.96300006
3511,574,182,.55519998
1285,130,126,.96989995
2459,894,131,.55049998
2096,1123,147,.5844
2562,337,175,.76169997
2422,350,150,.396
3616,3867,191,.29280001
656,1593,96,.9386
1593,205,170,.46950001
1774,521,121,.54509997
317,1129,71,.98050004
3290,643,160,.42279997
3511,1252,164,.3854
412,2809,66,.73559999
3083,340,213,.62870002
1229,1237,106,.39669999
3269,330,188,.2202
556,1489,68,.94300002
640,1202,92,.90289998
593,1055,78,.67769998
1724,509,145,.83129996
416,1988,73,.8186
667,2367,93,.39259997
622,1845,96,.58139998
364,868,94,.99699998
1396,1845,118,.50940001
1301,246,131,.39590001
2214,493,177,.54390001
3201,615,153,.3662
588,594,67,.80610001
3338,555,232,.35830003
1593,130,140,.59419996
2409,146,201,.2978
477,321,71,.57389998
572,446,76,.99070001
2977,171,214,.29359999
2612,245,288,.72620004
3777,890,318,.47409999
2833,456,202,.4003
2477,1193,222,.65860003
2898,530,206,.45900002
2696,790,188,.30270001
3982,6815,381,.28530002
3833,152,272,.32709998
543,4443,80,.72350001
1917,214,180,.36090001
2146,287,171,.34110001
3575,1336,224,.48890001
3874,1422,278,.4745
596,3381,67,.56189996
3446,413,290,.59890002
1345,1590,137,.4382
4185,397,201,.2471
3611,432,211,.2543
629,957,90,.412
601,2173,80,.61860001
951,1786,95,.48630002
1953,501,162,.42029998
175,242,114,.63020003
543,3410,108,.74839997
496,3080,82,.5147
1538,2707,150,.50700003
1524,247,136,.52130002
2569,709,252,.48439997
3482,632,217,.54229999
727,1205,68,.62980002
2069,181,198,.41999999
3693,1793,373,.4285
3762,162,313,.55970001
1059,355,239,.435
1158,494,111,.64489996
2430,207,166,.63010001
409,245,69,.65599996
1174,278,119,.56240004
762,166,177,.80140001
1304,233,195,.2809
337,333,210,.4411
1843,476,136,.56580001
1540,288,125,.7543
1129,189,272,.85940003
1543,740,219,.71900004
1101,330,147,.73010004
1411,269,188,.69550002
1058,233,160,.72040004
1229,523,181,.69010001
2033,150,169,.3321
2422,365,224,.57069999
1301,120,180,.51899999
1087,228,187,.81120002
1762,3714,188,.46810001
311,284,149,.5837
1633,697,162,.5808
3187,184,244,.32169998
1635,261,168,.79150003
1129,161,172,.58719999
4169,609,359,.4612
4393,201,300,.34919998
1724,166,239,.7701
654,210,179,.91410005
329,337,120,.58569998
1483,1076,183,.58219999
479,703,117,.85699999
1183,794,233,.64199996
1719,863,140,.27079999
1112,317,220,.48800001
2356,507,180,.38060001
2809,148,225,.25330001
2979,460,187,.25440001
2737,183,210,.48750001
1737,353,145,.39180002
1019,448,191,.77149999
1120,196,239,.78699994
1679,299,205,.72650003
1638,1936,296,.6074
454,211,242,.9835
2112,1461,150,.67989999
1580,598,282,.52310002
2058,1619,175,.60030001
1172,328,193,.54150003
2301,335,281,.73199999
1583,249,254,.65149999
1600,278,223,.4639
1770,318,174,.54509997
2472,569,218,.6045
2562,1277,254,.70459998
2543,216,381,.71019995
2456,252,316,.75529999
2256,852,203,.71699995
724,560,236,.48339999
2109,466,221,.63620001
2096,124,231,.55720001
1488,1110,245,.72510004
901,687,98,.6221
759,435,81,.91390002
1232,689,272,.43970001
993,699,111,.49950001
1088,280,249,.8678
2337,324,180,.67230004
1464,209,140,.80019999
714,562,89,.83889997
2267,133,188,.44189999
1327,204,134,.6839
2829,188,187,.46509999
3174,160,230,.23999999
3193,216,187,.39680001
987,487,121,.84610003
906,231,208,.79610002
1883,1520,219,.38509998
887,734,96,.74430001
1754,501,178,.67699999
2100,276,171,.49450001
2304,161,159,.74809998
798,283,109,.67870003
2582,294,170,.57639998
3083,515,210,.44819999
3370,243,213,.222
974,315,187,.68959999
785,524,97,.84230006
1562,645,178,.48520002
477,524,182,.42169997
4143,468,294,.49669999
2158,192,292,.30410001
1833,248,270,.30919999
3911,362,232,.61720002
1524,7365,121,.37490001
3456,1679,355,.31
532,1504,203,.75529999
458,266,209,.36060002
3956,577,376,.2843
688,2021,154,.4023
3880,153,298,.25850001
470,632,211,.4012
409,1308,100,.49330002
4051,257,344,.35900003
3196,692,287,.57490003
2538,505,318,.4765
3912,1265,383,.31799999
4156,5161,477,.36970001
4137,808,458,.4296
3925,667,401,.41419998
1667,342,172,.55509996
1150,521,139,.34720001
3874,1287,416,.32679999
1422,1198,310,.65300006
319,373,161,.67250001
1609,3914,130,.25870001
3429,305,295,.3152
1977,185,321,.37459999
345,5889,133,.39040002
1651,4273,144,.31330001
1598,68,140,.6965
746,151,146,.97050005
1058,225,124,.4659
3764,195,273,.44310001
582,1745,80,.97730005
1041,1118,114,.6652
875,1270,89,.55290002
290,518,65,.99010003
948,680,98,.98589998
719,2063,87,.9454
598,2153,88,.61650002
1082,1957,97,.55779999
1167,240,104,.79720002
1206,227,126,.63609999
1727,168,167,.2343
1343,263,162,.8082
656,163,115,.78260005
2454,142,182,.51109999
745,316,86,.50959998
1954,270,149,.2827
1672,541,138,.52679998
2122,159,156,.37759998
2314,129,173,.45270002
2209,151,175,.398
551,369,82,.5316
1633,267,206,.63529998
524,1495,68,.78740001
1351,537,132,.6868
635,286,95,.91019994
627,1891,82,.96800005
900,450,100,.70949996
585,542,96,.98620003
537,1000,82,.97800004
1541,776,139,.71779996
2498,198,197,.4797
1388,2230,127,.74430001
2982,575,177,.33419999
1345,797,148,.88089997
4091,326,190,.31099999
1730,1083,125,.49849999
861,788,92,.40619999
1077,191,168,.41060001
1667,308,131,.53939998
3890,195,211,.26199999
3112,401,184,.66870004
1679,271,162,.44580001
3469,326,202,.25330001
3945,640,270,.40889999
3908,273,251,.27779999
3533,123,294,.2992
4120,535,198,.2061
1419,638,171,.56800002
1698,505,121,.55419999
1485,141,115,.42770001
1222,1876,131,.39259997
3348,648,282,.49669999
430,775,218,.9878
588,152,220,.95699996
3890,128,362,.35909998
541,541,188,.62830001
319,150,291,.98620003
414,160,233,.97080004
3109,194,290,.73940003
3824,465,316,.505
4067,1214,364,.4138
3838,153,371,.2481
1545,53,172,.49689999
3838,477,318,.59599996
1311,375,302,.57429999
1483,1282,132,.75760001
1533,495,181,.85760003
2925,280,258,.73680001
1627,1345,136,.37099999
3677,326,187,.48630002
969,483,102,.55720001
1043,928,114,.58939999
817,1408,96,.41979998
1359,376,148,.67460001
490,1937,68,.75809997
1050,1671,109,.38709998
1001,1411,113,.40419999
545,440,152,.97600001
1785,1818,140,.50370002
1646,254,132,.59669995
2035,738,163,.44799998
2887,346,192,.27219999
1508,248,159,.83109999
3161,461,312,.32439998
3635,398,353,.71629995
3430,169,324,.6832
893,175,269,.54479998
1408,545,152,.82410002
324,312,254,.98360002
1537,244,156,.88239998
779,109,216,.90419996
716,610,72,.7518
772,1088,83,.67220002
1016,784,110,.6401
1504,900,144,.66280001
887,1167,108,.60280001
917,1626,99,.60540003
1385,616,148,.8258
208,577,129,.97099996
450,746,70,.57139999
2758,200,236,.51599997
3767,256,355,.57919997
4346,316,213,.26860002
1648,169,167,.37360001
1833,543,131,.72059995
575,372,164,.95819998
1853,148,154,.68300003
3870,266,312,.19840001
946,609,96,.47240001
366,449,149,.4998
680,255,78,.65830004
787,416,98,.66290003
309,262,81,.99959999
303,614,63,.93059999
669,182,97,.61119998
909,865,85,.495
922,132,92,.8761
1741,187,142,.45529997
477,200,171,.78430003
858,421,122,.6663
774,1969,82,.94669998
651,588,121,.96839994
975,1111,104,.55110002
1048,196,104,.47839999
3820,190,389,.65120006
1753,152,183,.64660001
1009,663,120,.64769995
966,748,129,.58069998
943,418,134,.74199998
948,435,120,.93949997
1111,974,110,.6214
880,198,102,.6329
969,161,121,.53200001
2958,386,268,.58579999
1824,222,182,.41839999
2390,184,205,.25709999
2864,210,194,.30500001
779,133,122,.7572
2220,375,227,.44069999
720,2754,86,.49590001
672,2338,89,.66640002
1693,1460,153,.73330003
1656,152,147,.51289999
3372,234,207,.27320001
591,535,68,.90930003
3638,638,386,.46090001
600,1539,115,.58130002
422,321,122,.9763
1093,2133,120,.60070002
1182,178,111,.7924
3862,331,246,.30360001
1212,184,126,.4172
2364,95,212,.30919999
3904,1434,518,.6749
551,2309,92,.50959998
1124,1869,102,.6275
1196,132,110,.57480001
1164,259,129,.30689999
3877,352,520,.60710001
1577,1305,159,.75580001
3675,207,396,.32229999
361,1900,70,.60600001
4072,273,214,.2325
1962,400,131,.70169997
3725,609,405,.6128
1866,234,171,.49770001
1267,335,192,.60619998
2514,367,224,.5402
2801,449,307,.70569998
2770,170,272,.61009997
2533,159,298,.70519996
2759,391,297,.67559999
1401,546,177,.58939999
566,303,78,.53029996
1150,471,297,.85410005
1782,169,134,.62349999
480,162,193,.95099998
322,228,118,.98660004
1312,1142,142,.6415
3141,198,311,.42720002
1382,556,145,.81220001
